,Borough,Neighbourhood,Venue,Venue_id,Category,Location.lat,Location.lng,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
87,North York,Downsview Central,Canadian Tire Gas+,4fe92ec6e4b0a5a17c1033a9,Gas Station,43.725071,-79.481028,0,Vietnamese Restaurant,Filipino Restaurant,Gym / Fitness Center,Salon / Barbershop,Bank,Beer Store,Supermarket,New American Restaurant,Steakhouse,Thrift / Vintage Store
88,North York,"Bathurst Manor,Downsview North,Wilson Heights",Rambo - The Car Cleaning Experts,4fc8f99ae4b032a186903686,Car Wash,43.755837,-79.437241,0,Coffee Shop,Gas Station,Deli / Bodega,Fast Food Restaurant,Shopping Mall,Supermarket,Sushi Restaurant,Fried Chicken Joint,Frozen Yogurt Shop,Sandwich Place
89,Etobicoke,"Alderwood,Long Branch",Canadian Tire Gas+,4c2a82ecbbc7e21eb4613582,Gas Station,43.61664701012986,-79.54554508751781,0,Burger Joint,Hotel,Fast Food Restaurant,Hardware Store,Sandwich Place,Pizza Place,Furniture / Home Store,Climbing Gym,Middle Eastern Restaurant,Brewery
90,Mississauga,Canada Post Gateway Processing Centre,Petro-Canada,4d01605e2f03224bc11f60e2,Gas Station,43.627037,-79.631143,0,Coffee Shop,Pizza Place,Gym / Fitness Center,Middle Eastern Restaurant,Burger Joint,Fast Food Restaurant,Café,Gas Station,Sandwich Place,Caribbean Restaurant
91,Mississauga,Canada Post Gateway Processing Centre,Shell Car Wash,5c054216b77c77002c09f3b0,Car Wash,43.622384,-79.603437,0,Coffee Shop,Pizza Place,Skating Rink,Sandwich Place,Theater,Bank,Beer Store,Supermarket,Food Court,Breakfast Spot
92,Mississauga,Canada Post Gateway Processing Centre,GTA Pressure Cleaning & Restoration,50ad3e55e4b08e127b417964,Car Wash,43.666620678507925,-79.67120800013844,0,Italian Restaurant,Food Service,Business Service,Health Food Store,Flea Market,Fish Market,Fish & Chips Shop,Flower Shop,Financial or Legal Service,Dumpling Restaurant
93,Mississauga,Canada Post Gateway Processing Centre,Ovation Car Wash,4fa7423fe4b0e7038ca31501,Car Wash,43.587889628610654,-79.64116155375625,0,Café,Italian Restaurant,Electronics Store,Clothing Store,Deli / Bodega,Performing Arts Venue,Accessories Store,Coffee Shop,Sports Bar,Scenic Lookout
94,Etobicoke,"Alderwood,Long Branch",Valet Car Wash,51a3898c498e796163a60cf3,Car Wash,43.58897660073301,-79.5924717549748,0,Breakfast Spot,Coffee Shop,Restaurant,Arts & Crafts Store,Bakery,Nightclub,Fish Market,Fish & Chips Shop,Flea Market,Financial or Legal Service
95,Mississauga,Canada Post Gateway Processing Centre,Petro Car Wash,4dd80b83e4cd37c893bb6539,Car Wash,43.626756,-79.630059,0,Coffee Shop,Pizza Place,Gym / Fitness Center,Caribbean Restaurant,Sandwich Place,Café,Fast Food Restaurant,Burger Joint,Soup Place,Gas Station
96,Etobicoke,"Alderwood,Long Branch",24 Hrs. Car Wash,5341a406498e89a4e2f3c775,Car Wash,43.58659531155124,-79.54879978829246,0,Park,Dog Run,Vietnamese Restaurant,Motel,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
97,Mississauga,Canada Post Gateway Processing Centre,Soap &  Suds,5751c9aa498e15594b182d99,Car Wash,43.591938,-79.6357,0,Coffee Shop,Sandwich Place,Bar,Indian Restaurant,Bakery,Gas Station,Bank,Lounge,Steakhouse,Bookstore
98,Mississauga,Canada Post Gateway Processing Centre,Esso Self Service Car Wash,4da083e5e8a6721eef6c39a5,Car Wash,43.60113400909023,-79.63339203141408,3,Park,Coffee Shop,Farmers Market,Video Game Store,Yoga Studio,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant
99,North York,"Emery,Humberlea",Wilson Car Wash,4ee503af722ea7b945b6db2d,Automotive Shop,43.715880448264286,-79.52642617501108,0,Furniture / Home Store,Gift Shop,Bakery,Skating Rink,Fast Food Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
100,Etobicoke,Northwest,Greenage Car Wash,50e74f64e4b0531acf5b1715,Car Wash,43.6965441346506,-79.63124802988281,0,Automotive Shop,Coffee Shop,Scenic Lookout,Gas Station,Rental Car Location,Diner,Fast Food Restaurant,Sandwich Place,IT Services,Filipino Restaurant
101,Etobicoke,"Alderwood,Long Branch",Petro Canada Car Wash,58cc148514fb41604232c278,Car Wash,43.61696,-79.54616,0,Furniture / Home Store,Hardware Store,Sandwich Place,Burger Joint,Hobby Shop,Shopping Plaza,Bakery,Liquor Store,Storage Facility,Breakfast Spot
102,Etobicoke,"Humber Bay Shores,Mimico South,New Toronto",Original Six Car Wash,4d56ddd6fb65236a88390bb4,Car Wash,43.60329569884899,-79.51892682188588,3,Breakfast Spot,Pool,Coffee Shop,Skating Rink,Filipino Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
103,Etobicoke,"Alderwood,Long Branch",Mississauga Kar Kare,4b51d59cf964a5204f5727e3,Automotive Shop,43.58872478168298,-79.59275153019107,0,Breakfast Spot,Coffee Shop,Restaurant,Arts & Crafts Store,Bakery,Nightclub,Fish Market,Fish & Chips Shop,Flea Market,Financial or Legal Service
104,York,Weston,Weston Coin Car Wash,4becab5a8bbcc9283ca98cb1,Car Wash,43.7086000109898,-79.5342762282257,0,Grocery Store,Fast Food Restaurant,Sandwich Place,Japanese Restaurant,Bank,Bakery,Beer Store,Supplement Shop,Auto Garage,Gym
105,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",Sparkle Kleen Car Wash,55a80bdd498ed75377125d41,Car Wash,43.632926,-79.543317,0,Fast Food Restaurant,Turkish Restaurant,Women's Store,Thai Restaurant,Greek Restaurant,Vietnamese Restaurant,Sandwich Place,Fried Chicken Joint,Restaurant,Café
106,Etobicoke,"Bloordale Gardens,Eringate,Markland Wood,Old Burnhamthorpe",Upscale Car Detailing Service,4ffef9438302e63b3273dd76,Car Wash,43.64529724280223,-79.56533874760432,0,Hotel,Coffee Shop,Farmers Market,Café,Bank,Theater,Grocery Store,Gym,Transportation Service,Clothing Store
107,Etobicoke,"Alderwood,Long Branch",Popular Car Wash & Detailing - FREE VACUUMS,4e2ad147d22d3f83c887b668,Car Wash,43.619796753,-79.562225342,0,Furniture / Home Store,Shoe Store,Women's Store,Pet Store,Sporting Goods Shop,Gift Shop,Pool Hall,Hardware Store,Discount Store,Arts & Crafts Store
108,Scarborough,"Clarks Corners,Sullivan,Tam O'Shanter",Petro-Canada,4b9fa7def964a5201d3237e3,Gas Station,43.782892,-79.288497,0,Fast Food Restaurant,Grocery Store,Hobby Shop,Train Station,Spa,Market,Big Box Store,Beer Store,Sandwich Place,Cantonese Restaurant
109,Scarborough,"Highland Creek,Rouge Hill,Port Union",Petro-Canada,4b5aedfff964a520c2da28e3,Gas Station,43.84784,-79.073237,0,Clothing Store,Mexican Restaurant,Men's Store,Toy / Game Store,Fast Food Restaurant,Burger Joint,Sandwich Place,Caribbean Restaurant,Liquor Store,Lingerie Store
110,Scarborough,Upper Rouge,PetroCan Touchless Car Wash,4fa16808e4b0ac13aec1a22f,Car Wash,43.87131478841214,-79.26691537410922,0,Steakhouse,Pharmacy,Gas Station,Grocery Store,Beer Store,Discount Store,Bank,Japanese Restaurant,Sandwich Place,Indian Restaurant
111,Scarborough,"Highland Creek,Rouge Hill,Port Union",Canadian Tire Gas+,4b37b3bff964a520aa4425e3,Gas Station,43.84210294953461,-79.07030940055846,0,Discount Store,Pizza Place,Liquor Store,Breakfast Spot,Sandwich Place,Men's Store,Furniture / Home Store,Fruit & Vegetable Store,Hardware Store,Coffee Shop
112,Scarborough,"Dorset Park,Scarborough Town Centre,Wexford Heights",Scarwash Auto Detailing,504a1695e4b0dd0b0d8192d1,Car Wash,43.764826,-79.285895,0,Fast Food Restaurant,Pizza Place,Coffee Shop,Food & Drink Shop,Sri Lankan Restaurant,Electronics Store,Middle Eastern Restaurant,Grocery Store,Gymnastics Gym,Mexican Restaurant
113,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Mr.Steam Car Wash,4d14be3681cea35da25cd5ec,Car Wash,43.870199,-79.277937,4,Cantonese Restaurant,Peruvian Restaurant,Greek Restaurant,Rental Car Location,Shopping Mall,Shop & Service,Bakery,Chinese Restaurant,Ethiopian Restaurant,Donut Shop
114,Scarborough,"Guildwood,Morningside,West Hill",24/7 Galloway Car Wash,55008a13498e43c314c23e9c,Car Wash,43.76096,-79.194511,0,Convenience Store,Rental Car Location,Thrift / Vintage Store,Bakery,Moving Target,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Fast Food Restaurant,Farmers Market
115,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Esso  Touchless Car Wash,5144fb20e4b0dfd2d17f542e,Car Wash,43.83491897583008,-79.25656127929688,0,Pizza Place,Hakka Restaurant,Spa,Fast Food Restaurant,Big Box Store,Liquor Store,Sandwich Place,Bubble Tea Shop,Greek Restaurant,Juice Bar
116,Scarborough,Upper Rouge,Petro Canada Car Wash,52b38ca7498e100cd74f48a5,Car Wash,43.89689289709923,-79.23854303207723,0,Sports Club,Bank,Dumpling Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant
117,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Discount Car Wash,4c5dab18d25320a140a6c67a,Car Wash,43.8719920952024,-79.27796369302804,4,BBQ Joint,Chinese Restaurant,Gym,Liquor Store,Rental Car Location,Shop & Service,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant
118,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Shell Car Wash,56f8173b498e96912b7e2e54,Car Wash,43.818002,-79.303592,4,Hong Kong Restaurant,Chinese Restaurant,Baseball Field,Tattoo Parlor,Bakery,Grocery Store,Food & Drink Shop,Pet Store,Pizza Place,Dance Studio
119,Scarborough,"Rouge,Malvern",Super Wash - PetroCanada,59c724272079556b58069945,Car Wash,43.78601,-79.1942,0,Mediterranean Restaurant,Restaurant,Fried Chicken Joint,Gas Station,Yoga Studio,Farmers Market,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant
120,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",EE Auto Group,518facbc498e91f3bf6d3d0a,Car Wash,43.87705770619646,-79.27493062716724,0,Park,Design Studio,Athletics & Sports,Gym Pool,BBQ Joint,Fish Market,Fish & Chips Shop,Financial or Legal Service,Flea Market,Filipino Restaurant
121,Scarborough,L'Amoreaux West,Shell Car Wash,58cd95604bafb746486c93cc,Car Wash,43.792618,-79.33056,0,Convenience Store,Breakfast Spot,Bakery,Gas Station,Chinese Restaurant,Fast Food Restaurant,Beer Store,Coffee Shop,Bus Station,Burger Joint
122,Scarborough,Cedarbrae,High Octane Car Wash,51850098498ed380ad272e52,Car Wash,43.7822984939488,-79.23517793466718,0,Hotel,Coffee Shop,Steakhouse,Bistro,Fast Food Restaurant,Gas Station,Sandwich Place,Sporting Goods Shop,Department Store,Food
123,Scarborough,"Highland Creek,Rouge Hill,Port Union",Petro-Pass Truck Stop,5a9d956dc9f90707b4aa129a,Gas Station,43.834051,-79.076913,0,Playground,Bar,Gym,Golf Course,Fish Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Fast Food Restaurant,Donut Shop
124,Scarborough,Upper Rouge,Petro Car Wash,4f3bf36ae4b0637758a6fc1c,Car Wash,43.871314,-79.266649,0,Steakhouse,Pharmacy,Gas Station,Grocery Store,Beer Store,Discount Store,Bank,Japanese Restaurant,Sandwich Place,Indian Restaurant
125,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Canadian Tire Gas+,4c64c59b772bef3be9b9c2aa,Gas Station,43.872585515035894,-79.28530443389455,0,Fast Food Restaurant,Shopping Mall,Coffee Shop,Clothing Store,Pharmacy,Gym,Liquor Store,Sandwich Place,Tea Room,Dessert Shop
126,Scarborough,"Dorset Park,Scarborough Town Centre,Wexford Heights",Midland Car Wash & Detailing,4f391a0fe4b0a1f1988c3ee2,Car Wash,43.75558,-79.26655,4,Pizza Place,Fried Chicken Joint,Bank,Light Rail Station,Chinese Restaurant,Park,Bakery,Pharmacy,Fish & Chips Shop,Fish Market
127,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Car Insanity,56614edd498e16a3d2aa1fa1,Car Wash,43.87296,-79.28092,0,Rental Car Location,BBQ Joint,Liquor Store,Grocery Store,Gym,Design Studio,Shop & Service,Yoga Studio,Event Space,Eastern European Restaurant
128,Downtown Toronto,"CN Tower,Bathurst Quay,Island airport,Harbourfront West,King and Spadina,Railway Lands,South Niagara",Coin Op Carwash,5132672fe4b054cc6df01ed6,Car Wash,43.633799551283424,-79.3980015268763,0,Coffee Shop,Harbor / Marina,Airport Lounge,Airport Service,Airport Terminal,Grocery Store,Tunnel,Sculpture Garden,Café,Dog Run
129,Mississauga,Canada Post Gateway Processing Centre,Petro-Canada,4bd9f0c62a3a0f47f7fda8b6,Gas Station,43.563786,-79.636401,0,Pizza Place,Hardware Store,Sandwich Place,Grocery Store,Gym,Restaurant,Flea Market,Indian Restaurant,Falafel Restaurant,Donut Shop
130,Mississauga,Canada Post Gateway Processing Centre,24 Hrs. Car Wash,4bee355da40fc9288d39830c,Car Wash,43.56559038824108,-79.63416517547822,0,Sandwich Place,Grocery Store,Pizza Place,Hardware Store,Liquor Store,Flea Market,Gym,Restaurant,Indian Restaurant,Dance Studio
131,Mississauga,Canada Post Gateway Processing Centre,Kingsmere Car Wash,51a25400498e9de81dcb4b39,Car Wash,43.562043738611415,-79.63725768547404,0,Sandwich Place,Pizza Place,Indian Restaurant,Gym / Fitness Center,Falafel Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant
132,Mississauga,Canada Post Gateway Processing Centre,Circle K,5a9c55b626659b1ccd6f644c,Car Wash,43.625699,-79.679401,3,Coffee Shop,Hotel,Sandwich Place,Gas Station,Office,Fast Food Restaurant,Mexican Restaurant,Indian Restaurant,Historic Site,Hockey Arena
133,Mississauga,Canada Post Gateway Processing Centre,Dennys 24hrs Car Wash,51c8e023498ef6a4accd4694,Car Wash,43.57384845289323,-79.64451699083723,0,Fast Food Restaurant,Vietnamese Restaurant,Food & Drink Shop,Coffee Shop,Gas Station,Portuguese Restaurant,Supermarket,Bubble Tea Shop,Fish & Chips Shop,Financial or Legal Service
134,Mississauga,Canada Post Gateway Processing Centre,Petro-Pass Truck Stop,4da112117ccc816e7a554b7b,Gas Station,43.681118,-79.683079,3,Bus Stop,Baseball Field,Coffee Shop,Gas Station,Filipino Restaurant,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant
135,Mississauga,Canada Post Gateway Processing Centre,Shell Car Wash,56f4179e498e93a5ec6c1127,Car Wash,43.619519,-79.66876,4,Supermarket,Indian Restaurant,Chinese Restaurant,Fast Food Restaurant,Sandwich Place,Italian Restaurant,Bank,Afghan Restaurant,Fish Market,Fish & Chips Shop
136,Scarborough,"Highland Creek,Rouge Hill,Port Union",Pete's Car Wash,4e5fc9481838d10f59518c6e,Car Wash,43.79928380631836,-79.14391458034514,0,Coffee Shop,Sandwich Place,Breakfast Spot,Pub,Mobile Phone Shop,Fast Food Restaurant,Fried Chicken Joint,Gas Station,Bakery,Grocery Store
137,Scarborough,"Dorset Park,Scarborough Town Centre,Wexford Heights",EE Auto Group,5b1aa51b1fa763002cf54662,Car Wash,43.757644,-79.275789,4,Indian Restaurant,Electronics Store,Pet Store,Vietnamese Restaurant,Chinese Restaurant,Fast Food Restaurant,Yoga Studio,Farmers Market,Eastern European Restaurant,Ethiopian Restaurant
138,North York,Willowdale West,SuperWorks Car Wash,4c2b45412219c928df46a448,Car Wash,43.79271683595736,-79.4458280951307,4,Coffee Shop,Chinese Restaurant,Bagel Shop,Pharmacy,Middle Eastern Restaurant,Grocery Store,Discount Store,Doner Restaurant,Sandwich Place,Fast Food Restaurant
139,Mississauga,Canada Post Gateway Processing Centre,Petro-Canada,4ba115b0f964a520469637e3,Gas Station,43.579394,-79.652447,0,Bubble Tea Shop,Fast Food Restaurant,Indian Restaurant,Dessert Shop,Noodle House,Yoga Studio,Coffee Shop,Burger Joint,Filipino Restaurant,Seafood Restaurant
140,Mississauga,Canada Post Gateway Processing Centre,Petro-Canada,4c6f35e9df6b8cfa6eb2b44d,Gas Station,43.66893,-79.738164,0,Pizza Place,Fast Food Restaurant,Clothing Store,Supermarket,Beer Store,Shopping Mall,Bus Station,Bus Stop,Sandwich Place,Candy Store
141,Mississauga,Canada Post Gateway Processing Centre,Super Wash (Petro Canada),51c8da79498e432886f7e1d2,Car Wash,43.57326367726666,-79.6581183894915,0,Fast Food Restaurant,Hotpot Restaurant,Bank,Sandwich Place,Food & Drink Shop,Supermarket,Furniture / Home Store,Mediterranean Restaurant,Vietnamese Restaurant,Indian Restaurant
142,Mississauga,Canada Post Gateway Processing Centre,auto salon,4f45220fe4b09357802dd6fe,Car Wash,43.647588343453705,-79.7077205599376,0,Hotel,Coffee Shop,Greek Restaurant,Restaurant,Diner,Vegetarian / Vegan Restaurant,Fast Food Restaurant,Wings Joint,BBQ Joint,Fish & Chips Shop
143,Mississauga,Canada Post Gateway Processing Centre,Superglide Carwash,52f640e3498e00dec25eeb6b,Car Wash,43.6365966796875,-79.71487426757812,0,Breakfast Spot,Coffee Shop,Sandwich Place,Gas Station,Bank,Fried Chicken Joint,Burger Joint,Supermarket,Discount Store,Grocery Store
144,Mississauga,Canada Post Gateway Processing Centre,Superwash,51e409bd498ec9be3bf621cd,Car Wash,43.57969665527344,-79.65270233154297,0,Bubble Tea Shop,Fast Food Restaurant,Indian Restaurant,Noodle House,Dessert Shop,Yoga Studio,Grocery Store,Burger Joint,Seafood Restaurant,Electronics Store
145,Mississauga,Canada Post Gateway Processing Centre,Victory Car Wash,4f9176d1e4b0277c98c2d860,Car Wash,43.66281383939036,-79.73096401357355,0,Accessories Store,Coffee Shop,Bus Station,Sporting Goods Shop,Fast Food Restaurant,Supermarket,Restaurant,Lawyer,Chinese Restaurant,Grocery Store
146,Downtown Toronto,Church and Wellesley,Shell Car Wash,5a8f410a47f8761262a97865,Car Wash,43.665685,-79.383914,0,Burger Joint,Coffee Shop,Sushi Restaurant,Bookstore,Breakfast Spot,Bubble Tea Shop,Salon / Barbershop,Restaurant,Ramen Restaurant,Pub
147,North York,"Fairview,Henry Farm,Oriole",Parkway Car Wash,4c76fa5ff24737044cc464eb,Car Wash,43.77512962143206,-79.3389343948576,4,Japanese Restaurant,Fast Food Restaurant,Shopping Mall,Chinese Restaurant,Sporting Goods Shop,Department Store,Salon / Barbershop,Sandwich Place,Grocery Store,Asian Restaurant
148,York,"The Junction North,Runnymede",Petro-Canada,5831e764dc33297bf0c0f6d5,Car Wash,43.6689425842313,-79.48336958885193,0,Park,Sandwich Place,Bus Line,Pizza Place,Coffee Shop,Convenience Store,Grocery Store,Burger Joint,Fried Chicken Joint,Rental Car Location
149,West Toronto,"High Park,The Junction South",Crosstown Car Wash,4b6dc1dff964a520f28c2ce3,Car Wash,43.665357074054704,-79.47623491287231,0,Coffee Shop,Bar,Deli / Bodega,Nail Salon,Breakfast Spot,Italian Restaurant,Bus Line,Cajun / Creole Restaurant,Bakery,Burger Joint
150,North York,Willowdale South,Mr. Shine,51421dcde4b013872b91e03f,Car Wash,43.76853,-79.412703,0,Ramen Restaurant,Café,Coffee Shop,Steakhouse,Japanese Restaurant,Plaza,Juice Bar,Sushi Restaurant,Movie Theater,Fried Chicken Joint
151,Etobicoke,"Kingsway Park South West,Mimico NW,The Queensway West,Royal York South West,South of Bloor",Soft Cloth Car Wash,51f6e54d498e0623584ad4f5,Car Wash,43.632999420166016,-79.54328155517578,0,Fast Food Restaurant,Turkish Restaurant,Women's Store,Thai Restaurant,Greek Restaurant,Vietnamese Restaurant,Sandwich Place,Fried Chicken Joint,Restaurant,Café
152,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Petro-Canada,4e8673ded66a9b178e90e290,Gas Station,43.863166,-79.303335,4,Chinese Restaurant,Cantonese Restaurant,Gas Station,Cha Chaan Teng,Dessert Shop,Japanese Restaurant,Beer Store,Bank,Bakery,Seafood Restaurant
153,North York,Hillcrest Village,Petro-Canada,4b6dadf7f964a520b2852ce3,Gas Station,43.875654,-79.415707,0,Fast Food Restaurant,Sandwich Place,Coffee Shop,Taco Place,Gas Station,Diner,Shoe Store,Kebab Restaurant,Kids Store,Korean Restaurant
154,North York,"Newtonbrook,Willowdale",Superwash,5dd35483b53c9a00088f25b8,Car Wash,43.860565,-79.435646,0,Bakery,Pharmacy,Vietnamese Restaurant,Chinese Restaurant,Middle Eastern Restaurant,Mini Golf,Sandwich Place,Supermarket,Restaurant,Sushi Restaurant
155,North York,Hillcrest Village,Petro-Canada Car Wash,5b6f026ff193c0002cc8f3ae,Car Wash,43.844542,-79.40822,0,Coffee Shop,Pizza Place,Asian Restaurant,Spa,Furniture / Home Store,Sandwich Place,Salon / Barbershop,Gas Station,Grocery Store,Gym
156,North York,Hillcrest Village,ESSO Car Wash,4e0b8f7b52b1fe83d54e6531,Car Wash,43.851501753750654,-79.40784696706795,4,Pharmacy,Supermarket,Bank,Korean Restaurant,Chinese Restaurant,Shopping Mall,Bakery,Financial or Legal Service,Fish & Chips Shop,Filipino Restaurant
157,North York,Hillcrest Village,Esso Car Wash,50eaf425e4b0f090d2c350c2,Car Wash,43.86867892626581,-79.36179361958985,0,Japanese Restaurant,Bakery,Mattress Store,Cha Chaan Teng,Supermarket,Bank,Candy Store,Gift Shop,Greek Restaurant,Sporting Goods Shop
158,North York,"Newtonbrook,Willowdale",Canadian Tire Gas+,4c97f89fb6ee236adc73a4a7,Gas Station,43.842760691911444,-79.4312596321106,0,Coffee Shop,Cosmetics Shop,Italian Restaurant,Restaurant,Furniture / Home Store,Park,Pub,Pharmacy,Sandwich Place,BBQ Joint
159,North York,Downsview Northwest,Canadian Tire Gas+,52476d1611d2f0c96383bca8,Gas Station,43.829821180837406,-79.53869819641113,0,Clothing Store,Coffee Shop,Breakfast Spot,Italian Restaurant,Japanese Restaurant,Mexican Restaurant,Sporting Goods Shop,Steakhouse,Camera Store,Caribbean Restaurant
160,North York,Humber Summit,Petro-Canada,4d3b3fdf979ea1437db299fc,Gas Station,43.783622,-79.567984,0,Italian Restaurant,Fast Food Restaurant,Burger Joint,Bakery,Restaurant,Bowling Alley,Steakhouse,Japanese Restaurant,Diner,Gym / Fitness Center
161,North York,Downsview Northwest,Esso Touchless Car Wash,582116b11dbf6c7a75f40fd7,Car Wash,43.82768,-79.552364,0,Fast Food Restaurant,Pharmacy,Coffee Shop,Italian Restaurant,Breakfast Spot,Martial Arts Dojo,Sushi Restaurant,Restaurant,BBQ Joint,Grocery Store
162,North York,Downsview Northwest,ECO GREEN AUTO SPA,544b10f0498eeacb33622918,Car Wash,43.80806843345028,-79.53738927841187,4,Women's Store,Outdoor Supply Store,Yoga Studio,Fast Food Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
163,North York,Humber Summit,Petro-Canada,4e8673fcd66a9b178e91230e,Gas Station,43.790747,-79.626874,3,Coffee Shop,Mediterranean Restaurant,Gas Station,Gym,Event Space,Supermarket,American Restaurant,Thai Restaurant,Mobile Phone Shop,Financial or Legal Service
164,North York,Willowdale West,ESSO NEW Touchless Car Wash,4e21c2431838712abe7549a7,Car Wash,43.80943047659161,-79.4591460817044,0,Sandwich Place,Cosmetics Shop,Coffee Shop,Bus Station,Mediterranean Restaurant,Burger Joint,Market,Spa,Gym,Furniture / Home Store
165,North York,Humber Summit,Canadian Tire Gas+,4e41d376d22d38bfd45cee64,Gas Station,43.77654451613014,-79.60489623292713,4,Auto Dealership,Coffee Shop,Fast Food Restaurant,Ice Cream Shop,Fried Chicken Joint,Shopping Mall,American Restaurant,Italian Restaurant,Chinese Restaurant,Sushi Restaurant
166,Etobicoke,"Albion Gardens,Beaumond Heights,Humbergate,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown",Petro-Pass Truck Stop,57f54b9e498ed27f8c178378,Gas Station,43.731407,-79.67832,3,Coffee Shop,Yoga Studio,Filipino Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Financial or Legal Service
167,Etobicoke,"Albion Gardens,Beaumond Heights,Humbergate,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown",Nanak Car Wash,51ebf409498e68dc2ff32028,Car Wash,43.7368,-79.6038,0,Sandwich Place,Coffee Shop,Fast Food Restaurant,Electronics Store,Greek Restaurant,Café,Thrift / Vintage Store,Chinese Restaurant,Italian Restaurant,Pet Store
168,Etobicoke,Northwest,Car Wash,52485dbf498e8d3af3ffbd70,Car Wash,43.7197,-79.692,0,Business Service,Flea Market,Athletics & Sports,Gastropub,Yoga Studio,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market
169,Etobicoke,Northwest,Blue Wave Car Wash,518d5eaf498ee1e70678730c,Car Wash,43.71494998803069,-79.58670051273252,0,Gym,Home Service,Electronics Store,Gas Station,Yoga Studio,Farmers Market,Eastern European Restaurant,Ethiopian Restaurant,Event Space,Falafel Restaurant
170,Etobicoke,"Albion Gardens,Beaumond Heights,Humbergate,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown",Petro-Canada,4c9288e01221b1f7225e12e2,Gas Station,43.80288338228464,-79.66896075690569,2,Department Store,Yoga Studio,Filipino Restaurant,Electronics Store,Ethiopian Restaurant,Event Space,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Financial or Legal Service
171,Etobicoke,"Albion Gardens,Beaumond Heights,Humbergate,Jamestown,Mount Olive,Silverstone,South Steeles,Thistletown",Northwest Toyota,4c9b6e82db10b60c4e199b6d,Auto Dealership,43.74626534303083,-79.6939705007545,0,Breakfast Spot,Diner,Sandwich Place,Furniture / Home Store,Arts & Crafts Store,Pizza Place,Coffee Shop,Office,Restaurant,Salon / Barbershop
172,East Toronto,The Beaches,Dawes Road Coin Car Wash,4fc24ba9e4b05b85036e6f4c,Car Wash,43.688472,-79.297455,0,Coffee Shop,Pharmacy,Bus Line,Ice Cream Shop,Mexican Restaurant,Sushi Restaurant,French Restaurant,Baseball Field,Furniture / Home Store,Sandwich Place
173,North York,Hillcrest Village,Shell,4c545bd44623be9a6963a8f2,Gas Station,43.89933033029736,-79.44310426712036,3,Coffee Shop,Shipping Store,Arts & Crafts Store,Gym,Thrift / Vintage Store,Mattress Store,Auto Dealership,Fast Food Restaurant,Gas Station,Electronics Store
174,East Toronto,"The Beaches West,India Bazaar",Coin-Op Car Wash,4d8f9335ca75b60cab9517a9,Car Wash,43.667416,-79.313066,0,Park,Pizza Place,Burrito Place,Sandwich Place,Fruit & Vegetable Store,Sushi Restaurant,French Restaurant,Liquor Store,Fish & Chips Shop,Bakery
175,Central Toronto,"The Annex,North Midtown,Yorkville",Dupont Auto Spa,5143b385e4b068967c7e8c5f,Car Wash,43.674,-79.4104,0,Sandwich Place,Vegetarian / Vegan Restaurant,Café,Burger Joint,Latin American Restaurant,Steakhouse,Liquor Store,Sports Bar,Middle Eastern Restaurant,Modern European Restaurant
