,Borough,Neighbourhood,Venue,Venue_id,Category,Location.lat,Location.lng,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
20,Scarborough,"Dorset Park,Scarborough Town Centre,Wexford Heights",Robs Complete Car Care,4fd269d9e4b0b31b840a96c9,Car Wash,43.76318477450299,-79.27700589337387,0,Electronics Store,Fast Food Restaurant,Automotive Shop,Furniture / Home Store,Light Rail Station,Dessert Shop,Pet Store,Fish Market,Fish & Chips Shop,Financial or Legal Service
21,Scarborough,Cedarbrae,Hybrid Auto Cleaning Service,50a508d3e4b0d190c5f1a474,Car Wash,43.771875,-79.262074,0,Pizza Place,Coffee Shop,Bank,Gas Station,Storage Facility,Supermarket,Sporting Goods Shop,Cosmetics Shop,Flea Market,Fish Market
22,Scarborough,Cedarbrae,Professional Interior & Exterior Detailing,4fff05aee4b00c7849be0e7d,Car Wash,43.776852,-79.250694,0,Wings Joint,Pharmacy,Italian Restaurant,Yoga Studio,American Restaurant,Coffee Shop,Deli / Bodega,Restaurant,Movie Theater,Grocery Store
23,North York,Victoria Village,Jet Kleen,4b4a0abbf964a520c37826e3,Car Wash,43.7175938317509,-79.30539590991975,0,Pharmacy,Italian Restaurant,Boxing Gym,Storage Facility,Martial Arts Dojo,Food,Optical Shop,Grocery Store,Gym / Fitness Center,BBQ Joint
24,East York,Woodbine Heights,Mr. Shine Car Wash,5a9392c448b04e6e4c60239b,Car Wash,43.687534,-79.30598,0,Grocery Store,Bus Line,Coffee Shop,Optical Shop,Sandwich Place,Sushi Restaurant,Gas Station,Metro Station,Thai Restaurant,Doctor's Office
25,Scarborough,"East Birchmount Park,Ionview,Kennedy Park",Colonial car wash,4caf3dd439458cfabdbdf89f,Car Wash,43.73258796319562,-79.26909541468808,0,Coffee Shop,Pizza Place,Grocery Store,Convenience Store,Discount Store,Chinese Restaurant,Sandwich Place,Bus Station,Bus Line,Pharmacy
26,Scarborough,"Agincourt North,L'Amoreaux East,Milliken,Steeles East",Super Wash Touchfree,53027b6a498e8287b7f9cd35,Car Wash,43.848374408849594,-79.28104620008571,0,Spa,Soccer Field,Bus Stop,Health & Beauty Service,Park,Playground,Fish Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant
27,North York,Victoria Village,Esso Touchless Car Wash,56633dfb498e22046a52543b,Car Wash,43.72566,-79.314586,0,Pizza Place,Intersection,Portuguese Restaurant,French Restaurant,Coffee Shop,Hockey Arena,Financial or Legal Service,Fish & Chips Shop,Filipino Restaurant,Fish Market
28,East Toronto,The Beaches,Shell,4f1c5e8fe4b064e65cf513f0,Gas Station,43.688015437548245,-79.2837529014047,0,Grocery Store,Coffee Shop,Construction & Landscaping,Paper / Office Supplies Store,Liquor Store,Beer Store,Gym,Diner,Fast Food Restaurant,Sporting Goods Shop
29,Downtown Toronto,Harbourfront,Big Wax Car Wash,4db2feb71e7248d135820b3d,Car Wash,43.65107412592739,-79.36303530270054,0,Coffee Shop,Bakery,Cosmetics Shop,Asian Restaurant,Shoe Store,Farmers Market,Café,French Restaurant,Liquor Store,Restaurant
30,Scarborough,L'Amoreaux West,Petro-Canada Touchless Carwash,520fa63811d232287e513570,Car Wash,43.817413330078125,-79.33455657958984,4,Chinese Restaurant,Bubble Tea Shop,Xinjiang Restaurant,Coffee Shop,Asian Restaurant,Fast Food Restaurant,Dumpling Restaurant,Intersection,Flea Market,Fish Market
31,North York,Glencairn,Coin Op Car Wash,4d7d16fd5a396dcb65d781fb,Car Wash,43.70349107534574,-79.45147638779915,0,Mediterranean Restaurant,Paintball Field,Food & Drink Shop,Fast Food Restaurant,Bike Shop,Sandwich Place,Gas Station,Bakery,Trail,Gym / Fitness Center
32,Queen's Park,Queen's Park,Cato's Auto Salon,52176f4b11d29f20100056b6,Car Wash,43.66999856149801,-79.39292722488099,0,Cosmetics Shop,Women's Store,Coffee Shop,Clothing Store,Boutique,Men's Store,Gourmet Shop,Gift Shop,Gastropub,French Restaurant
33,Scarborough,Upper Rouge,Super Wash,59a587b5d0a14947110b090d,Car Wash,43.85183,-79.253349,0,Hakka Restaurant,Middle Eastern Restaurant,Grocery Store,Paper / Office Supplies Store,Asian Restaurant,Smoothie Shop,Sandwich Place,Sporting Goods Shop,Restaurant,Fried Chicken Joint
34,North York,Willowdale West,Esso Carwash,4fb0ec32e4b084c29a0d1fab,Car Wash,43.780479,-79.444064,0,Pizza Place,Park,Home Service,Grocery Store,Butcher,Coffee Shop,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Ethiopian Restaurant
