,Borough,Neighbourhood,Venue,Venue_id,Category,Location.lat,Location.lng
45,North York,Parkwoods,Excellent Car Wash & Care Centre星皇汽車護理洗車中心,513cc96ae4b06a870749afaf,Car Wash,43.82012113295353,-79.33184337261224
60,North York,Victoria Village,0098 Optimum Car Care,56872f58498e36861fd7da29,Car Wash,43.734479799999995,-79.44647570000002
64,North York,Victoria Village,Circle K Carwash,5ad924cfc666666ab5c22510,Car Wash,43.775458,-79.347965
67,North York,Victoria Village,Parkway Car Was,4f5a70fce4b0300585a66f14,Car Wash,43.77460023433525,-79.33809824346469
71,North York,Victoria Village,Mr. Shine Express Carwash,52fa273d498ed082ca71ee30,Car Wash,43.65183639526367,-79.3823471069336
73,North York,Victoria Village,Nahwi Car Care,52bf4925498eada038b5640b,Car Wash,43.643017426433595,-79.37766965665584
75,North York,Victoria Village,Avenue Car & Truck Rentals,5162d00ae4b0d7d62e65c265,Car Wash,43.757928,-79.276076
93,Downtown Toronto,Harbourfront,Petro-Canada,4e2312721495f18f035e5e05,Gas Station,43.660205,-79.51294
94,Downtown Toronto,Harbourfront,Petro-Canada,4d1e0a25dd6a236aad1b2338,Gas Station,43.636353885089896,-79.47546326286735
98,Downtown Toronto,Harbourfront,Canadian Tire Gas+,4eafdc899a521bacdb725f1d,Gas Station,43.700508950663526,-79.45161374468023
99,Downtown Toronto,Harbourfront,Petro-Canada,4d222c352eb1f04d2e0dfec1,Gas Station,43.680812,-79.475829
101,Downtown Toronto,Harbourfront,Junction Car Wash,5c2150b3ee7120002cf9cc28,Car Wash,43.665366999999996,-79.476261
104,Downtown Toronto,Harbourfront,Richmond Hand Car Wash & Detailing,5d5ed8c63c6e63000740edb6,Car Wash,43.649427,-79.39241700000001
105,Downtown Toronto,Harbourfront,The Beaches Coin-Op Carwash,4b942458f964a520dd6a34e3,Car Wash,43.667473,-79.313174
106,Downtown Toronto,Harbourfront,Silver Star Car Wash,4c1155b26e5dc9b639ecaf2d,Car Wash,43.70931545540021,-79.45376678691572
107,Downtown Toronto,Harbourfront,Anna Car Wash,5aa94d0f8173cb153e8e92e0,Car Wash,43.671927000000004,-79.385537
109,Downtown Toronto,Harbourfront,Davinci Detailing Depot,4f3a809ae4b026b7f744bd0f,Car Wash,43.68418870395524,-79.48328366894417
110,Downtown Toronto,Harbourfront,OLCO Queensway Carwash,4b5f6524f964a520d8b729e3,Car Wash,43.62425890007757,-79.5109224242214
114,Downtown Toronto,Harbourfront,U-Haul Neighborhood Dealer,590364670123587260a3cf71,Car Wash,43.652317,-79.402084
116,Downtown Toronto,Harbourfront,Petro-Canada Car Wash,5a9cab07065ef5259c21d9d1,Car Wash,43.63616,-79.475334
118,Downtown Toronto,Harbourfront,Parkview Hills Car Spa,4ba3c241f964a520335c38e3,Automotive Shop,43.70502541482728,-79.31332474283944
119,Downtown Toronto,Harbourfront,Jet Kleen Car Wash,4dbc450a4b222080d38d1dad,Automotive Shop,43.67207115275436,-79.46749630955918
120,Downtown Toronto,Harbourfront,Martino Bros. Car Wash,535279d6498eef77e3b94f72,Car Wash,43.6656,-79.4838
121,Downtown Toronto,Harbourfront,Petro-Canada,4cc89a5cd54fa1cdde933229,Gas Station,43.705890999999994,-79.487841
122,Downtown Toronto,Harbourfront,Petro-Canada,4c02cd35f56c2d7fe6fa1b66,Gas Station,43.725905,-79.296675
128,Downtown Toronto,Harbourfront,Bizzy Boy Auto Detailers,518bca45498e1c05ba913df4,Car Wash,43.69964,-79.472484
132,North York,"Lawrence Heights,Lawrence Manor",Keele Carwash Coin-Op,4f8d01d46b742e3bfcf42afc,Car Wash,43.7059027564556,-79.47715759277344
135,North York,"Lawrence Heights,Lawrence Manor",Petro-Canada,4d0cee3c257d6dcb5eed9867,Gas Station,43.719201,-79.603167
136,North York,"Lawrence Heights,Lawrence Manor",Petro-Canada,4b928449f964a5200c0034e3,Gas Station,43.78979,-79.545822
