,Venue_id,Venue,Venue Latitude,Venue Longitude,Nearby Venue,Nearby Venue Category
53,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,McDonald's,Fast Food Restaurant
54,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Druxy's,Deli / Bodega
55,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,TD Canada Trust,Bank
56,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Tim Hortons,Coffee Shop
57,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Subway,Sandwich Place
58,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Mark's,Clothing Store
59,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Main Drug Mart,Pharmacy
60,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Sharetea,Bubble Tea Shop
61,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,IKEA Shuttle Bus,Moving Target
62,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Leslie Subway Station,Metro Station
63,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Burger Hut,Burger Joint
64,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Ikea Shuttle Bus,Moving Target
65,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Pizza Pizza,Pizza Place
66,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Ikea Ice Cream Stand,Ice Cream Shop
67,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Ikea As Is Department,Furniture / Home Store
68,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Pet Valu,Pet Store
69,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Betty Sutherland Trail,Trail
70,4e6aba30091a37e2ddc64131,Nanak Car Wash,43.770153889272954,-79.36979036590805,Clarinda Park,Park
71,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Lara's Restaurant,Middle Eastern Restaurant
72,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,天天渔港 Captain's Catch,Chinese Restaurant
73,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,GoodLife Fitness North York Sheppard and Consumers,Gym / Fitness Center
74,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Omni Palace Noodle House,Chinese Restaurant
75,4d3f1dc83ec9a35df6916081,Petro-Canada,43.775024,-79.333001,Beiruti Grand Cafe,Middle Eastern Restaurant
